monitoring_location_identifier,huc_eight_digit_code,latitude_measure,longitude_measure,params,min_date,max_date
KLAMATHTRIBES_WQX-BB,18010203,42.408583,-122.019889,"pH, Conductivity, Dissolved oxygen saturation, Dissolved oxygen (DO), Depth, Secchi disk depth, Water Temperature, Light, photosynthetic active radiation (PAR)",1994-10-05,1994-10-25
KLAMATHTRIBES_WQX-BI,18010203,42.417722,-121.930306,"pH, Conductivity, Dissolved oxygen saturation, Dissolved oxygen (DO), Water Temperature",1994-10-05,1994-10-05
KLAMATHTRIBES_WQX-BP,18010203,42.418083,-122.002611,"Dissolved oxygen (DO), Dissolved oxygen saturation, Depth, Secchi disk depth, pH, Water Temperature, Conductivity, Ammonia-nitrogen",1994-09-01,1995-08-22
KLAMATHTRIBES_WQX-BPN,18010203,42.418167,-122.008972,"Conductivity, pH, Dissolved oxygen saturation, Dissolved oxygen (DO), Water Temperature",1995-08-18,1995-08-18
KLAMATHTRIBES_WQX-GB,18010203,42.461333,-121.913861,"Dissolved oxygen (DO), Dissolved oxygen saturation, pH, Conductivity, Water Temperature",1995-08-18,1996-06-24
KLAMATHTRIBES_WQX-KL0001,18010203,42.23861,-121.80588,"Ammonia-nitrogen, Nitrogen, Total Phosphorus, mixed forms, Nitrate + Nitrite, Phosphorus, Dissolved oxygen (DO), Water Temperature, Depth, Secchi disk depth, Light, photosynthetic active radiation (PAR), Dissolved oxygen saturation, pH, Chlorophyll a, Conductivity, Pheophytin a, Silica, Nitrite",1991-10-07,2018-10-23
KLAMATHTRIBES_WQX-KL0002,18010203,42.241722,-121.822306,"Water Temperature, Conductivity, Chlorophyll a, Dissolved oxygen saturation, Dissolved oxygen (DO), pH, Phosphorus, Depth, Secchi disk depth, Total Phosphorus, mixed forms, Pheophytin a, Nitrogen, Nitrate + Nitrite, Ammonia-nitrogen, Light, photosynthetic active radiation (PAR), Silica, Nitrite",1990-01-18,2018-10-23
KLAMATHTRIBES_WQX-KL0003,18010203,42.308389,-121.856222,"pH, Dissolved oxygen (DO), Depth, Secchi disk depth, Water Temperature, Dissolved oxygen saturation, Conductivity, Nitrogen, Chlorophyll a, Nitrate + Nitrite, Pheophytin a, Total Phosphorus, mixed forms, Phosphorus, Ammonia-nitrogen, Light, photosynthetic active radiation (PAR), Nitrite, Silica",1990-01-18,2018-10-23
KLAMATHTRIBES_WQX-KL0004,18010203,42.32689,-121.919922,"Nitrogen, Water Temperature, Dissolved oxygen saturation, Conductivity, pH, Pheophytin a, Dissolved oxygen (DO), Depth, Secchi disk depth, Phosphorus, Chlorophyll a, Total Phosphorus, mixed forms, Ammonia-nitrogen, Nitrate + Nitrite, Light, photosynthetic active radiation (PAR), Nitrite, Silica",1990-01-18,2018-10-23
KLAMATHTRIBES_WQX-KL0005,18010203,42.369083,-121.848694,"Dissolved oxygen saturation, Nitrogen, pH, Conductivity, Dissolved oxygen (DO), Nitrate + Nitrite, Phosphorus, Water Temperature, Depth, Secchi disk depth, Pheophytin a, Total Phosphorus, mixed forms, Ammonia-nitrogen, Chlorophyll a, Light, photosynthetic active radiation (PAR), Silica, Nitrite",1990-01-18,2018-10-23
KLAMATHTRIBES_WQX-KL0006,18010203,42.422083,-121.943278,"pH, Total Phosphorus, mixed forms, Ammonia-nitrogen, Dissolved oxygen (DO), Depth, Secchi disk depth, Conductivity, Water Temperature, Nitrogen, Dissolved oxygen saturation, Phosphorus, Pheophytin a, Nitrate + Nitrite, Chlorophyll a, Light, photosynthetic active radiation (PAR), Nitrite, Silica",1990-01-18,2018-10-23
KLAMATHTRIBES_WQX-KL0007,18010203,42.40725,-121.963083,"Dissolved oxygen saturation, Dissolved oxygen (DO), Water Temperature, Total Phosphorus, mixed forms, Depth, Secchi disk depth, pH, Ammonia-nitrogen, Nitrogen, Pheophytin a, Conductivity, Nitrate + Nitrite, Phosphorus, Chlorophyll a, Light, photosynthetic active radiation (PAR), Silica, Nitrite",1990-01-18,2018-10-23
KLAMATHTRIBES_WQX-KL0008,18010203,42.441361,-121.998833,"Dissolved oxygen (DO), Nitrogen, Water Temperature, Dissolved oxygen saturation, Chlorophyll a, pH, Pheophytin a, Conductivity, Ammonia-nitrogen, Phosphorus, Depth, Secchi disk depth, Nitrate + Nitrite, Total Phosphorus, mixed forms, Light, photosynthetic active radiation (PAR), Nitrite, Silica",1990-01-18,2018-10-23
KLAMATHTRIBES_WQX-KL0009,18010203,42.435722,-122.028194,"Ammonia-nitrogen, Depth, Secchi disk depth, Light, photosynthetic active radiation (PAR), Total Phosphorus, mixed forms, Pheophytin a, Nitrate + Nitrite, Nitrogen, Water Temperature, Dissolved oxygen saturation, pH, Conductivity, Dissolved oxygen (DO), Chlorophyll a, Phosphorus, Nitrite, Silica",1997-07-16,2018-10-23
KLAMATHTRIBES_WQX-KL0010,18010203,42.523583,-121.984278,"pH, Total Phosphorus, mixed forms, Depth, Secchi disk depth, Phosphorus, Conductivity, Water Temperature, Dissolved oxygen saturation, Dissolved oxygen (DO), Nitrogen, Chlorophyll a, Ammonia-nitrogen, Pheophytin a, Nitrate + Nitrite, Light, photosynthetic active radiation (PAR), Nitrite, Silica",1990-01-18,2018-10-23
KLAMATHTRIBES_WQX-KL0011,18010203,42.560556,-121.947444,"Depth, Secchi disk depth, Phosphorus, Ammonia-nitrogen, Dissolved oxygen saturation, pH, Nitrogen, Water Temperature, Dissolved oxygen (DO), Nitrate + Nitrite, Conductivity, Light, photosynthetic active radiation (PAR), Chlorophyll a, Total Phosphorus, mixed forms, Pheophytin a, Nitrite, Silica",1991-06-05,2018-10-23
KLAMATHTRIBES_WQX-PB,18010203,42.456222,-122.070778,"Ammonia-nitrogen, Dissolved oxygen saturation, Dissolved oxygen (DO), Total Phosphorus, mixed forms, Nitrogen, Water Temperature, pH, Conductivity, Pheophytin a, Phosphorus, Depth, Secchi disk depth, Chlorophyll a, Nitrate + Nitrite, Light, photosynthetic active radiation (PAR)",1990-01-18,1997-06-16
KLAMATHTRIBES_WQX-PBE,18010203,42.457778,-122.067833,"Conductivity, Dissolved oxygen saturation, Water Temperature, pH, Dissolved oxygen (DO)",1994-08-30,1994-08-30
KLAMATHTRIBES_WQX-PBL,18010203,42.477611,-122.086806,"Conductivity, Depth, Secchi disk depth, Dissolved oxygen saturation, pH, Water Temperature, Dissolved oxygen (DO)",1990-06-29,1994-08-30
KLAMATHTRIBES_WQX-SBE,18010203,42.405417,-121.956889,Ammonia-nitrogen,1994-09-20,1994-09-20
KLAMATHTRIBES_WQX-SBM,18010203,42.424222,-121.975639,"Water Temperature, Dissolved oxygen (DO), pH, Dissolved oxygen saturation, Conductivity",1995-08-18,1995-08-22
KLAMATHTRIBES_WQX-SR0040,18010202,42.49672,-121.005556,"Conductivity, Ammonia-nitrogen, Gage Height, Flow, Dissolved oxygen (DO), Dissolved oxygen saturation, Nitrate + Nitrite, Water Temperature, Total Phosphorus, mixed forms, Phosphorus, Nitrogen, pH, Silica, Nitrite, Total suspended solids",2001-03-07,2016-12-27
KLAMATHTRIBES_WQX-SR0050,18010202,42.376056,-120.969444,"Nitrate + Nitrite, Total Phosphorus, mixed forms, Conductivity, Phosphorus, Water Temperature, Nitrogen, pH, Dissolved oxygen (DO), Dissolved oxygen saturation, Flow, Ammonia-nitrogen, Gage Height, Nitrite, Silica, Total suspended solids",2001-03-07,2016-12-16
KLAMATHTRIBES_WQX-SR0060,18010202,42.460389,-121.269861,"Total Phosphorus, mixed forms, Phosphorus, pH, Water Temperature, Ammonia-nitrogen, Flow, Nitrogen, Dissolved oxygen saturation, Conductivity, Nitrate + Nitrite, Dissolved oxygen (DO), Gage Height, Silica, Nitrite, Total suspended solids",2001-03-21,2016-12-28
KLAMATHTRIBES_WQX-SR0070,18010202,42.48522,-121.27843,"Water Temperature, Flow, Nitrate + Nitrite, Conductivity, Phosphorus, Ammonia-nitrogen, pH, Dissolved oxygen (DO), Nitrogen, Dissolved oxygen saturation, Total Phosphorus, mixed forms, Gage Height, Silica, Nitrite, Total suspended solids",2001-03-21,2016-12-28
KLAMATHTRIBES_WQX-SR0080,18010202,42.5505,-121.617611,"Gage Height, Nitrogen, Total Phosphorus, mixed forms, pH, Conductivity, Flow, Phosphorus, Water Temperature, Nitrate + Nitrite, Dissolved oxygen saturation, Ammonia-nitrogen, Dissolved oxygen (DO), Silica, Nitrite, Total suspended solids",2001-03-22,2016-12-29
KLAMATHTRIBES_WQX-SR0090,18010202,42.584639,-121.841861,"Phosphorus, Water Temperature, Ammonia-nitrogen, Conductivity, Flow, Dissolved oxygen (DO), Dissolved oxygen saturation, pH, Nitrate + Nitrite, Total Phosphorus, mixed forms, Nitrogen, Gage Height, Nitrite, Silica, Total suspended solids",2001-04-04,2016-12-29
KLAMATHTRIBES_WQX-SR0140,18010202,42.456306,-121.111667,"Dissolved oxygen saturation, Dissolved oxygen (DO), Ammonia-nitrogen, Nitrogen, pH, Nitrate + Nitrite, Gage Height, Total Phosphorus, mixed forms, Phosphorus, Water Temperature, Conductivity, Silica, Flow, Nitrite, Total suspended solids",2005-06-08,2016-12-27
KLAMATHTRIBES_WQX-SR0150,18010202,42.43941,-121.09544,"Dissolved oxygen saturation, Nitrite, Ammonia-nitrogen, Nitrogen, Water Temperature, pH, Gage Height, Nitrate + Nitrite, Silica, Flow, Conductivity, Dissolved oxygen (DO), Total Phosphorus, mixed forms, Phosphorus, Total suspended solids",2009-08-11,2016-12-16
KLAMATHTRIBES_WQX-WR,18010201,42.469222,-121.957389,"Dissolved oxygen saturation, Dissolved oxygen (DO), Conductivity, Water Temperature, pH",1994-07-28,1994-08-24
KLAMATHTRIBES_WQX-WR1000,18010202,42.567806,-121.864472,"Phosphorus, Dissolved oxygen (DO), pH, Ammonia-nitrogen, Total Phosphorus, mixed forms, Nitrate + Nitrite, Water Temperature, Dissolved oxygen saturation, Conductivity, Nitrogen",2005-01-13,2005-01-13
KLAMATHTRIBES_WQX-WR6000,18010201,42.514528,-121.915806,"Nitrogen, Water Temperature, Conductivity, Dissolved oxygen saturation, Total Phosphorus, mixed forms, Phosphorus, pH, Nitrate + Nitrite, Ammonia-nitrogen, Dissolved oxygen (DO)",2005-01-13,2005-01-13
KLAMATHTRIBES_WQX-WS,18010203,42.53142778,-121.93111111,"Total Phosphorus, mixed forms, Dissolved oxygen saturation, Nitrate + Nitrite, Depth, Secchi disk depth, Ammonia-nitrogen, pH, Water Temperature, Dissolved oxygen (DO), Nitrogen, Phosphorus, Conductivity, Chlorophyll a, Pheophytin a",1990-06-29,1991-04-30
